PassengerId,Survived_pred,Probability
892,0,0.15546590591271225
893,0,0.4165957696646093
894,0,0.12660899032307074
895,0,0.142680537111058
896,0,0.4633811119874188
897,0,0.1760877001608504
898,1,0.8585814268362552
899,0,0.16510847759004552
900,1,0.7884449381552138
901,0,0.09934657599032878
902,0,0.14233256438510078
903,0,0.15321006966248796
904,1,0.8960639966144576
905,0,0.15632026699861618
906,1,0.9176251660295529
907,1,0.897214245203201
908,0,0.13268808986527936
909,0,0.16760684084337557
910,0,0.4211624902690661
911,1,0.5342573623937653
912,0,0.26875858363181176
913,1,0.5256841073982715
914,1,0.9092766090312291
915,0,0.28555230067461
916,1,0.5201134492823958
917,0,0.13494179206130613
918,1,0.9024675798203257
919,0,0.16242795042989192
920,0,0.15227768183590962
921,0,0.1530757499110876
922,0,0.15188030248028755
923,0,0.1349686942824104
924,0,0.3390310545067132
925,0,0.3705140910453102
926,0,0.21339694763050257
927,0,0.1792576842103256
928,1,0.521906753891834
929,1,0.5481601002879488
930,0,0.14322118715085336
931,0,0.2592998925455598
932,0,0.10649577696554405
933,0,0.15303152883836652
934,0,0.1536924249410519
935,1,0.869100193804072
936,1,0.9186632273598728
937,0,0.14111668600840707
938,0,0.1559331522200981
939,0,0.14980594927794263
940,1,0.8219261125005782
941,0,0.5133230094341279
942,0,0.17808841077689988
943,0,0.13007205910183672
944,1,0.7500772297299113
945,1,0.8614039050656168
946,0,0.1291680768429116
947,0,0.1258555699655863
948,0,0.14993080828958671
949,0,0.14076018066737725
950,0,0.1136045155259042
951,1,0.833563885742047
952,0,0.15672483081856883
953,0,0.14271491981848236
954,0,0.1524167337394468
955,1,0.8672501207146295
956,0,0.5143978143156149
957,1,0.8807592008925961
958,1,0.865224333414745
959,0,0.1534803528220611
960,0,0.1511187405129221
961,0,0.25008879638276055
962,1,0.8670624941970664
963,0,0.14443541429254816
964,1,0.518963929866783
965,0,0.15327161307522577
966,1,0.8605113960241793
967,0,0.15690302958082858
968,0,0.14253796975303937
969,1,0.8100161189726549
970,0,0.1404438829378949
971,1,0.8670624941970664
972,1,0.6498210795233433
973,0,0.5
974,0,0.15279283379210898
975,0,0.14233256438510078
976,0,0.1295204020507292
977,0,0.14675793982725355
978,1,0.8646959666959888
979,1,0.5620197819772904
980,1,0.8630043975129282
981,1,0.8785529026683196
982,0,0.45895195386780463
983,0,0.1421723710711604
984,1,0.9258669353461242
985,0,0.14253796975303937
986,0,0.1601701771720274
987,0,0.1409487896735599
988,1,0.7111689022925914
989,0,0.14324064649369347
990,1,0.55015208836423
991,0,0.14789279170720837
992,1,0.9038448236928367
993,0,0.13646617784671417
994,0,0.14980594927794263
995,0,0.14106433225788856
996,1,0.8217066539752401
997,0,0.1665611502301427
998,0,0.15138804363418612
999,0,0.14980594927794263
1000,0,0.14343223510739037
1001,0,0.15757787417234853
1002,0,0.13003296096534822
1003,1,0.8630410828031765
1004,1,0.8615447213861466
1005,1,0.8650158631071091
1006,1,0.813650055956164
1007,0,0.20335356634715793
1008,0,0.15113678272465667
1009,1,0.842957383510025
1010,0,0.15861797230227834
1011,1,0.8631293483506891
1012,1,0.8604539245672614
1013,0,0.15055057743354489
1014,1,0.9054094950021078
1015,0,0.14148350940775425
1016,0,0.14980594927794263
1017,1,0.7456617549276352
1018,0,0.1427729555022748
1019,1,0.7833246261896852
1020,0,0.15219182740949838
1021,0,0.14147634141041285
1022,0,0.14670995141779464
1023,0,0.15406019838314663
1024,0,0.29082853490211436
1025,0,0.14201385998432256
1026,0,0.15368678057989538
1027,0,0.14122250892538887
1028,0,0.15365392486185686
1029,0,0.13942093494393765
1030,1,0.5374412050057137
1031,0,0.20131769729378096
1032,0,0.20734055126466372
1033,1,0.8864701162755486
1034,0,0.25207363955020085
1035,0,0.15047739622243847
1036,0,0.15270746014324593
1037,0,0.11267491238231354
1038,0,0.15308068976237968
1039,0,0.14310012140388476
1040,0,0.15303152883836652
1041,0,0.12843324125619102
1042,1,0.8922767002525351
1043,0,0.15233099226920685
1044,0,0.15097855314892744
1045,0,0.5060908566837651
1046,0,0.09451458181648191
1047,0,0.14083139559218413
1048,1,0.858560936612881
1049,1,0.5367097464648473
1050,0,0.15270746014324593
1051,1,0.6242222626720304
1052,1,0.8629834049838792
1053,1,0.6161190133023213
1054,1,0.866207956949121
1055,0,0.14115966670942093
1056,0,0.15171930456295615
1057,0,0.44286615042329236
1058,0,0.16664411294187018
1059,0,0.09111890402205687
1060,1,0.860030010008528
1061,1,0.5448507113397968
1062,0,0.1418756840511559
1063,0,0.15295905156741463
1064,0,0.11782810963034278
1065,0,0.15177634039323443
1066,0,0.1501203572971864
1067,1,0.925670324799897
1068,1,0.8888115523148642
1069,0,0.2632200153753352
1070,1,0.6707647563375733
1071,1,0.6585676513304362
1072,0,0.1404438829378949
1073,0,0.23818729196102678
1074,1,0.8981914892579602
1075,0,0.14980594927794263
1076,1,0.8850211096311114
1077,0,0.15320108732683904
1078,1,0.9259761932645882
1079,0,0.11137739619159268
1080,0,0.1531257798036674
1081,0,0.15107396681758362
1082,0,0.13447420143981437
1083,0,0.1530209220108199
1084,0,0.3587216442410445
1085,0,0.12633056679662175
1086,1,0.8203775652544602
1087,0,0.1476245763820896
1088,1,0.609900197986634
1089,1,0.5610913553349095
1090,0,0.14077956289732207
1091,1,0.5221585099150513
1092,1,0.8718514750115841
1093,1,0.8556223455366473
1094,0,0.40785548669093463
1095,1,0.9453903562011982
1096,0,0.1382051836849205
1097,0,0.15374415260648192
1098,1,0.8398079894138576
1099,0,0.13924274981282325
1100,1,0.8590997767622088
